country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Europe,1971,,661120687,,153.653,0.233,6322.978,228.727,3.753,6559.746,145.225,2.264,9.926,0.837,0.41,9.568,0.807,0.395,2895.334,4.381,,,,2296.231,204836.984,329360.094,168221.297,35.774,4574.93,136454.688,29708.752,,38647.113,,27.999,0.042,589.844,0.893,,,236.731,0.358,,,,,2656.147,4.019,,,25550.406,50.653,40.779,32.65,50.797,50.327,46.554,35.169,56.011,1.245,17.716,27.232,28.085,,8.711,30.51,5.162,36.876,,,,,
Europe,1972,,665447565,,160.71,0.242,6551.978,229,3.622,6751.152,191.407,2.918,10.149,0.826,0.403,9.85,0.801,0.391,2835.943,4.263,,,,2456.941,211388.953,336111.25,171057.234,64.092,5239.267,136653.828,32571.42,,40263.504,,28.318,0.043,664.337,0.999,,,199.138,0.299,,,,,2862.668,4.304,,,26793.25,49.98,40.373,32.427,49.809,50.304,46.334,35.109,55.896,1.99,18.795,27.025,28.685,,8.164,32.374,4.338,36.859,,,,,
Europe,1973,,669560034,,167.408,0.25,6844.567,292.59,4.466,7080.016,328.864,4.871,10.578,0.765,0.4,10.226,0.739,0.386,2866.228,4.282,,,,2624.349,218233.531,343191.25,173923.469,96.532,5966.11,136889.234,35623.07,,42196.98,,32.44,0.048,726.843,1.086,,,235.412,0.352,,,,,3051.648,4.559,,,28253.412,49.164,40.059,32.879,48.894,50.23,46.108,35.06,55.764,2.665,19.835,26.835,29.253,,8.067,32.98,5.293,37.098,,,,,
Europe,1974,,673561825,,167.236,0.248,6862.789,18.222,0.266,7070.904,-9.112,-0.129,10.502,0.794,0.406,10.193,0.771,0.394,2859.153,4.246,,,,2791.585,225096.312,350262.156,176782.625,131.444,6766.972,137097.359,38623.695,,42414.113,,34.912,0.052,800.863,1.189,,,208.115,0.309,,,,,3000.625,4.457,,,28568.527,49.038,40.328,33.137,48.743,50.157,45.907,35.019,55.635,3.275,20.926,26.65,29.737,,8.921,35.452,4.816,37.009,,,,,
Europe,1975,,677416160,,166.316,0.246,6902.318,39.529,0.576,7126.189,55.285,0.782,10.524,0.794,0.414,10.193,0.769,0.401,2866.956,4.234,,,,2957.901,231998.641,357388.344,179649.578,168.722,7635.9,137321.219,41586.535,,42659.738,,37.278,0.055,868.927,1.283,,,223.87,0.331,,,,,2962.842,4.375,,,28898.396,49.044,40.472,33.262,47.489,50.093,45.724,34.982,55.483,3.878,22.073,26.469,30.152,,11.072,38.524,5.123,36.856,,,,,
Europe,1976,,681010388,,170.788,0.251,7277.064,374.746,5.429,7481.369,355.18,4.984,10.99,0.801,0.412,10.69,0.779,0.4,2979.246,4.376,,,,3128.688,239275.703,364869.719,182628.828,209.073,8584.395,137525.531,44724.723,,44516.801,,40.351,0.059,948.494,1.393,,,204.305,0.3,,,,,3138.185,4.61,,,30316.404,48.225,40.446,33.554,47.561,49.987,45.544,34.952,55.332,4.405,23.213,26.29,30.536,,10.205,39.738,4.746,36.74,,,,,
Europe,1977,,684505423,,174.468,0.255,7333.317,56.252,0.773,7536.156,54.787,0.732,11.014,0.783,0.408,10.717,0.762,0.397,2969.05,4.339,,,,3303.156,246609.016,372405.875,185597.875,252.693,9579.673,137728.359,47875.625,,45502.207,,43.62,0.064,995.278,1.455,,,202.839,0.296,,,,,3150.901,4.605,,,31146.508,47.043,39.633,32.895,46.263,49.822,45.343,34.908,55.159,4.928,24.301,26.109,30.827,,11.436,40.772,4.602,35.635,,,,,
Europe,1978,,687813865,,177.444,0.258,7565.874,232.557,3.171,7731.927,195.771,2.598,11.246,0.78,0.404,11.004,0.764,0.395,2986.564,4.344,,,,3480.6,254174.891,380137.812,188584.438,299.928,10625.132,137894.422,51184.797,,47096.402,,47.236,0.069,1045.459,1.521,,,166.052,0.242,,,,,3309.172,4.813,,,32393.559,44.957,39.659,33.183,45.724,49.549,45.15,34.871,54.98,5.436,25.315,25.933,31.122,,12.107,40.993,3.932,36.13,,,,,
Europe,1979,,690959643,,175.244,0.254,7745.535,179.66,2.375,7917.559,185.632,2.401,11.463,0.775,0.399,11.214,0.759,0.39,3076.93,4.455,,,,3655.844,261920.422,388055.375,191661.359,335.151,11734.612,138066.438,54533.457,,48491.012,,35.223,0.051,1109.481,1.606,,,172.025,0.249,,,,,3348.658,4.848,,,33505.332,43.824,39.481,33.439,44.982,49.241,44.959,34.84,54.784,5.702,26.275,25.768,31.388,,9.78,41.26,4.238,36.097,,,,,
Europe,1980,,694118828,,174.313,0.251,7749.543,4.008,0.052,7995.728,78.168,0.987,11.524,0.724,0.412,11.169,0.702,0.4,3164.832,4.561,,,,3830.156,269669.969,396051.094,194826.188,365.603,12873.902,138312.625,57774.113,,47939.879,,30.452,0.044,1139.29,1.642,,,246.184,0.355,,,,,3240.656,4.671,,,33275.973,43.295,39.739,33.9,45.057,48.935,44.79,34.821,54.593,5.903,27.149,25.619,31.623,,9.624,41.307,6.027,36.201,,,,,
